mes_ref;company_id;tipo_doc;max_valor_boleto;avg_valor_boleto;total_valor_boleto;valor_boleto_stdv;qtd_boleto_pago;qtd_boleto_total;qtd_boleto_estorno;qnt_cc_total;tempo_credenciamento;conta_bnk_repetida;fraude
01/08/2020;5ea0678761e7033ead16355a;cnpj;318;"238,45";"476,9";"112,5";2;2;0;101;10;0;0
01/09/2020;5f4926d0a6b9341322b2454c;cpf;600;"513,22";25148;"100,27";49;49;0;0;6;0;0
01/09/2020;5efb636407ab9b56e30b38ed;cpf;"9037,3";"952,33";"53330,63";"1559,57";1;56;0;0;6;0;1
01/09/2020;5f467c779e286c5a7b44ec4f;cpf;"54653,88";"2149,09";"242847,6";"6005,35";8;113;0;0;4;0;0
01/09/2020;5e9de86467d4361d6097a024;cnpj;300;300;300;0;1;1;0;3;10;0;0
01/09/2020;5e7390ea9c9cd5256f7334d5;cnpj;119;"104,45";"208,9";"20,58";2;2;0;15;11;0;0
01/09/2020;5e74ec9cf606b61f2e0a8ca9;cnpj;52;"44,73";"134,2";"6,29";2;3;0;7;11;0;0
01/09/2020;5eecca79c456bb104aaf0b6d;cnpj;"257,9";"257,9";"257,9";0;0;1;0;7;8;0;0
01/10/2020;5e0f70e84331ba63bb6a3eb0;cnpj;"100,6";"100,6";"201,2";0;1;2;0;19;14;0;0
01/10/2020;5ec3e07621e62a0d38b3c31a;cnpj;404;196;588;"186,42";1;3;0;6;9;0;0
01/10/2020;5e1c738d7268a016d9e71108;cnpj;580;"206,55";"5370,5";"130,36";20;26;0;10;14;0;0
01/10/2020;5e76569705e54942c1f355ea;cnpj;"399,98";"214,18";"4069,52";"66,61";11;19;0;0;11;0;0
01/03/2020;5e738bede88ea10b6b329a35;cnpj;10;10;10;0;1;1;0;5;11;0;0
01/03/2020;5e7deeb02f762855a6cda76f;cnpj;400;"186,12";1489;"108,96";7;8;0;0;11;0;0
01/04/2020;5e6b90ffe497ab33d7c12aca;cnpj;"299,9";"207,23";"621,7";81;3;3;0;30;12;0;0
01/04/2020;5e9df09067d4361d6097a070;cnpj;200;"179,4";1794;"62,68";7;10;0;0;10;0;0
01/05/2020;5eb450dd0a3726177583b9e9;cnpj;120;120;120;0;0;1;0;8;10;0;0
01/05/2020;5e8ba162d7a237656d5992e3;cpf;"136,5";"72,16";"216,5";"55,94";3;3;0;3;11;0;0
01/05/2020;5ec7dde8e6935c61e1b41799;cnpj;917;"527,11";4744;"237,5";1;9;0;0;9;0;0
01/06/2020;5e82547a52aad22277dca86c;cnpj;765;765;1530;0;1;2;0;2;11;0;0
01/03/2020;5e791cc8f5c4577b9e40d75e;cnpj;288;"181,94";"6186,2";"51,69";26;34;0;9;11;0;0
01/04/2020;5e791cc8f5c4577b9e40d75e;cnpj;"312,5";"176,73";"7069,25";"61,49";31;40;0;22;11;0;0
01/04/2020;5e87884250c55449f1a3eb5a;cnpj;870;"354,66";1064;"446,29";2;3;0;98;11;0;0
01/04/2020;5e7cc7ec8137175918852fdc;cnpj;365;"146,52";"7619,49";"57,99";31;52;0;0;10;0;0
01/04/2020;5e7baee9fce7413780b75def;cnpj;360;240;480;"169,71";2;2;0;26;11;0;0
01/04/2020;5e7f7dad03cfe831e3703e25;cnpj;300;"197,51";8098;"106,32";19;41;0;74;11;0;0
01/04/2020;5e949d28741c3a756e568ead;cnpj;"153,8";"153,8";"1384,2";0;0;9;0;11;10;0;0
01/05/2020;5e73dd9e0b501e71cbea7527;cnpj;230;230;230;0;1;1;0;1;11;0;0
01/05/2020;5e5ff0615e111222366ff7c8;cpf;99;74;148;"35,36";1;2;0;4;12;0;0
01/05/2020;5ea5f6c631531d503ad26134;cpf;"122,1";"101,4";"304,2";"35,85";1;3;0;17;10;0;0
01/05/2020;5e7deeb02f762855a6cda76f;cnpj;400;"172,66";"7942,81";"79,91";40;46;0;0;11;0;0
01/05/2020;5e7cc3118dc5042cae4e94b5;cnpj;567;"205,19";"9644,21";"109,32";25;47;0;42;11;0;0
